coord_x;coord_y
1915370.62206;4222836.77466
1913250.43825;4222531.23078
1913086.97639;4223524.47264
1914186.69358;4224275.03519
1912974.90507;4225210.23654
1912600.38488;4222098.28634
1914849.60369;4222164.65587
1914402.66154;4224091.5696
1915052.46363;4224643.4215
1915322.21202;4224679.86992
1913048.17207;4222114.92025
1914626.25357;4223904.35615
1914914.58837;4222701.06516
1913274.04542;4223605.47749
1912687.84783;4222887.3017
1913312.03126;4223589.21565
1914993.59602;4222812.80185
1914017.06512;4222361.24244
1914384.7433;4223660.16538
1913628.88408;4222635.30207
1915539.35065;4224585.11806
1912829.62422;4221453.71994
1914904.75864;4222666.73486
1914819.93501;4223842.41029
1914295.40588;4224064.6757
1914295.04301;4223282.55862
1913808.29708;4223133.55819
1915031.61099;4224841.00529
1913321.32979;4224510.27221
1915342.68686;4225711.09528
1915907.11317;4223808.48643
1914093.66138;4221349.60795
1913003.85397;4223022.43954
1912626.47353;4222020.08869
1914710.84731;4221660.58151
1915106.16058;4224950.69453
1913007.51028;4223049.93795
1912627.67009;4221726.27807
1914856.88466;4220763.37147
1912694.54355;4222887.24134
1915194.05845;4222789.87763
1915132.8017;4222079.91638
1912778.82162;4222138.4399
1913695.10799;4223039.97885
1915239.52184;4222561.63723
1912496.43863;4224218.05889
1912598.09266;4223042.00051
1915932.80942;4223819.64076
1912607.49865;4221691.37045
1915003.85681;4224632.34711
1912627.97882;4221909.79148
1914878.80129;4222273.94338
1914989.5375;4222409.55904
1914968.26512;4222479.28724
1913341.51745;4224209.89366
1914742.85996;4225237.6803
1912522.92302;4223685.64204
1914650.38576;4223477.11926
1913524.44653;4225157.24901
1915557.14954;4223183.71131
1914804.48445;4225363.13135
1915682.70367;4223113.81391
1912532.00626;4223589.69765
1913683.21356;4224698.92379
1912427.46325;4222672.89749
1915138.87719;4221454.16772
1914313.48875;4222052.09579
1913124.18403;4221907.3642
1912585.9215;4221370.42468
1912436.35334;4222157.85378
1915279.4084;4223101.42138
1915516.73897;4222360.14962
1912995.89942;4223212.39603
1913646.64943;4223008.75676
1913459.80437;4223727.52596
1912975.98933;4225832.41829
1914569.55667;4222107.99736
1915546.42659;4224995.40517
1914498.99915;4221732.45883
1913996.07771;4221963.46899
1914941.02037;4222443.86595
1913059.29894;4225714.09643
1914421.3595;4223824.1786
1912489.83926;4222688.97044
1915564.25263;4222278.95043
1914693.89338;4225193.35357
1912087.04918;4226322.29794
1912994.44303;4225530.28077
1915265.40991;4222819.88701
1915526.99661;4222802.38108
1912061.21373;4226357.45498
1914218.25482;4222207.29367
1914843.91782;4222334.24896
1912768.3749;4222131.35694
1915496.57737;4222684.33766
1912831.83244;4221872.67805
1915153.82954;4225734.6928
1913271.59592;4223596.7239
1912821.03553;4224997.06589
1915010.33257;4222514.51813
1914003.96575;4221964.00362
1914085.21729;4223010.35023
1914718.29824;4225375.41206
1913958.29663;4224592.75368
1913745.61488;4225219.60769
1912699.686;4223197.07881
1915017.85975;4225600.52959
1914522.19846;4223970.41183
1912726.7465;4221733.59677
1912370.19581;4222186.99929
