ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
5;2014;2014;2019;ESP33155;ESP385;R D Fontanelle ang Essen JO;10 à 20 cm;cordata;passages fréquents ou arrêts;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;Remplacement;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
3;2004;2013;N/A;ESP2079;ESP116;Crs Libération Beauvert Alliés;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
3;2004;N/A;2014;ESP26205;ESP635;Pl R Frappat ang Eaux Claires;10 à 20 cm;grandiflora;passages fréquents ou arrêts;Magnolia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle;oui;N/A;N/A;vigoureux
2;2004;2014;2014;ESP7496;ESP109;R François Raoult;40 à 50 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Enormément de grosses branches cassées;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille mise en sécurité;oui;N/A;N/A;vigoureux
1;2004;2013;N/A;ESP2547;ESP194;Terminus Tram Esclangon;20 à 30 cm;americana;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
3;2004;2015;2018;ESP11866;ESP872;Pc Ch Elysés Ouest;40 à 50 cm;abies;passages fréquents et arrêts fréquents;Picea;N/A;N/A;Arbre à abattre dans les 5 ans;de 1 à 5 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle résistographe;non;N/A;N/A;vigoureux
6;2004;2013;2020;ESP5219;ESP1398;Prc La Bruyère accés SUD;30 à 40 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2;2004;2014;2014;ESP2708;ESP1311;Jard Hoche pas Est Malraux;30 à 40 cm;nigra;passages fréquents et arrêts fréquents;Populus;N/A;N/A;Arbre à abattre dans les 10 ans;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre vieillissant;N/A;Taille de bois mort;non;N/A;Italica;vieillissement dépérissement
2;2004;2013;N/A;ESP18241;ESP18;Sq Mutualité ang Chanrion;40 à 50 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
5;2004;2015;2017;ESP30323;ESP995;Prc Echangeurs Bastion St Roch;40 à 50 cm;N/A;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
3;2009;2015;N/A;ESP29611;ESP84;Hôtel Lesdiguières;10 à 20 cm;N/A;passages fréquents ou arrêts;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;N/A;non;N/A;N/A;vigoureux
4;2004;2014;2014;ESP1429;ESP666;Av Champon pair;40 à 50 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Taillé en rideau;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille rideau;oui;N/A;N/A;vigoureux
5;2004;2013;2016;ESP19508;ESP1343;R Frederico Garcia Lorca park;20 à 30 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;oui;N/A;N/A;vigoureux
1;2005;2015;2018;ESP9274;ESP1287;Bd J Vallier voie tram pair;10 à 20 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
3;2004;2015;2020;ESP6156;ESP372;R E Claires Rh Danube Césaire;20 à 30 cm;N/A;passages fréquents et arrêts fréquents;Carpinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;Pyramidalis;vigoureux
3;2004;2015;N/A;ESP29445;ESP57;Bd Vallier R Danube Libé ;10 à 20 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;N/A;oui;N/A;N/A;vigoureux
4;2004;2013;N/A;ESP26224;ESP637;Cargo park Est;20 à 30 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
4;2004;2015;2016;ESP30513;ESP1073;Sq L Blum ang Stalingrad ;20 à 30 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre à abattre dans les 5 ans;de 1 à 5 ans;N/A;Inonotus hispidus dans le tronc;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Abattage;non;N/A;N/A;vieillissement dépérissement
4;2009;2013;N/A;ESP20686;ESP127;R Déportés ang Mallifaud park;0 à 10 cm;retusus;passages fréquents et arrêts fréquents;Chionanthus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;N/A;non;N/A;N/A;vigoureux
4;2004;2013;2018;ESP23661;ESP1022;R Marquian MIN;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Protection à mettre en place;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
5;2006;2015;2018;ESP13174;ESP720;Prc Echangeurs Valmy Gallieni;110 à 120 cm;nigra;passages fréquents ou arrêts;Populus;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;Essence ne correspondant pas sur le terrain;ESP174;Arbre d'espaces ouverts;Arbre vieillissant;Arbre vieillissant;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
3;2004;2014;2014;ESP13891;ESP599;R Vaujany Dagalier au terminus;0 à 10 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Cépée - Tuteur;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Controle tuteur, attache ou protection;non;N/A;N/A;vigoureux
5;2004;2013;2016;ESP6650;ESP256;R FG Lorca n 12 à 18;30 à 40 cm;nigra;passages fréquents ou arrêts;Pinus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Surveiller le dépérissement;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;Taille de bois mort;non;N/A;Austriaca;vigueur intermédiaire
4;2004;2013;2014;ESP26217;ESP876;Av A Belgique Perrot Cornier;30 à 40 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille rideau;oui;N/A;N/A;vigoureux
2;2004;2014;2014;ESP7512;ESP817;Jard Hoche P Fugain buttes;10 à 20 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
4;2004;2013;N/A;ESP9364;ESP889;R Déportés Vaillant  Bourget;40 à 50 cm;arizonica;passages fréquents et arrêts fréquents;Cupressus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Beaucoup;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;Glauca;vigoureux
