ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE,CODE_PARENT,CODE_PARENT_DESC,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,IDENTIFIANTPLU,INTITULEPROTECTIONPLU,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,RAISONDEPLANTATION,REMARQUES,SOUS_CATEGORIE,SOUS_CATEGORIE_DESC,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,TYPEIMPLANTATIONPLU,VARIETE,VIGUEUR,coord_x,coord_y,Default,Collet,Houppier,Racine,Tronc,y_prediction
4,2004,2013,-1.0,ESP9408,306,R Marquian Lesage à A Frédet,50,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,1,1,,0,0,1913686.94533,4222576.58197,0,0,0,0,0,0
3,2004,2013,2015.0,ESP29151,618,Ave Beaumarchais,50,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,0,0,1912951.7622200001,4222286.73436,0,0,0,0,0,0
6,2004,2015,2017.0,ESP8571,81,All Romantiques LBruyère Vigny,0,37,1,9,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,0,7,1,,0,0,1914217.05403,4222260.6528199995,0,0,0,0,0,0
5,2004,2013,2015.0,ESP17059,1106,R FG Lorca park contre imeuble,20,10,1,9,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,6,0,,0,0,1914938.09145,4222693.9062,0,0,0,0,0,0
5,2004,2015,2017.0,ESP20291,9,Prc Echangeurs Bastion St Roch,20,31,0,27,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,0,7,0,,17,0,1915354.3972099999,4224655.89146,0,0,0,0,0,0
5,2004,2015,2017.0,ESP3763,231,Sq Florian,40,8,0,7,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,7,1,,4,0,1915057.3035799998,4222168.08422,1,0,1,0,0,0
3,2004,2013,2012.0,ESP12482,63,Stade Bachelard,40,8,1,7,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,0,0,,4,0,1912500.28341,4221863.75518,1,0,1,0,0,1
6,2004,2014,2014.0,ESP30218,349,R Maurice Dodero n 12 à 16,20,7,0,13,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,1,0,0,,5,0,1914616.31396,4221576.413790001,0,0,0,0,0,0
6,2004,2015,2015.0,ESP24503,343,Chem du tram,40,82,0,6,,,1,11,1,0,1,Arbre d'espaces ouverts,1,1,0,4,0,,0,0,1914660.0477599998,4221734.9178,1,0,1,0,0,1
2,2004,2014,2015.0,ESP29987,54,Parc 1 Michalon centre,40,7,1,13,,,0,11,1,0,1,Arbre d'espaces ouverts,1,1,2,4,0,,5,0,1914659.40725,4225386.2101300005,0,0,0,0,0,0
3,2004,2013,-1.0,ESP14866,63,Stade Bachelard,40,8,1,7,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,4,0,1912500.9866099998,4221922.693419999,0,0,0,0,0,0
6,2015,2015,2020.0,ESP33722,815,Av Europe ang Cure Bourse,10,207,0,58,,,0,20,2,0,0,Arbre de voirie,0,0,0,0,0,,0,0,1915345.50279,4221489.59428,0,0,0,0,0,0
4,2004,2014,2014.0,ESP21417,109,Ec prim Bajatière 06 Ch Eglise,60,1,1,1,,,0,20,1,0,2,Arbre d'enceintes fermées,1,1,0,0,0,,0,0,1914919.63217,4223317.946269999,0,0,0,0,0,0
1,2004,2015,2020.0,ESP10899,252,Pl St Bruno Voirie,50,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,10,1,,0,0,1913176.88635,4224369.45758,1,0,1,0,0,0
2,2004,2013,2014.0,ESP10023,112,Bd Gambetta Dubedout Berriat,60,9,1,8,,,1,11,1,0,0,Arbre de voirie,1,1,0,7,1,,5,2,1913846.18687,4224741.54834,1,0,0,1,1,1
2,2004,2014,2017.0,ESP25052,141,Pc 3 H St Ferjus t Belledonne,20,11,1,10,,,0,11,1,1,1,Arbre d'espaces ouverts,1,0,0,10,0,,6,0,1915180.4347700002,4224944.40945,0,0,0,0,0,0
4,2004,2013,-1.0,ESP15452,972,R Jacquard Mangin à Kenedy,20,3,1,3,,,0,20,1,0,0,Arbre de voirie,1,1,0,1,0,,0,0,1913621.0024599999,4223111.148130001,0,0,0,0,0,0
5,2004,2015,2017.0,ESP25253,303,Sq Marcellin Berthelot,20,11,0,10,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,10,0,,6,2,1914777.03565,4222480.3266900005,1,0,1,0,1,1
5,2004,2014,2019.0,ESP20611,53,Cité Léon Jouhaux,10,9,1,23,,,0,11,1,0,1,Arbre d'espaces ouverts,0,1,0,4,0,,5,2,1915544.08025,4223194.60386,1,0,0,0,1,0
3,2005,2015,2020.0,ESP26787,753,R Roger Ronserail,0,22,1,20,,,0,20,1,1,0,Arbre de voirie,1,0,0,7,0,,9,0,1912784.7677099998,4223070.4960900005,0,0,0,0,0,0
2,2004,2015,-1.0,ESP18805,378,Jard Dauphins 1ère terrasse ,30,33,0,26,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,19,0,1913679.24279,4225161.48552,0,0,0,0,0,0
6,2009,2015,2017.0,ESP8106,81,All Romantiques LBruyère Vigny,0,37,1,9,,,0,20,1,0,1,Arbre d'espaces ouverts,0,1,0,7,1,,0,0,1914218.2363200001,4222245.81057,0,0,0,0,0,0
3,2009,2013,-1.0,ESP15380,5,Pc Ch Elysés Ouest,10,73,1,49,,,0,20,1,0,1,Arbre d'espaces ouverts,0,0,0,1,0,,34,0,1912637.51557,4221745.90317,0,0,0,0,0,0
2,2004,2015,2017.0,ESP30935,138,Cimetière St Roch,60,33,1,26,,,1,20,1,1,2,Arbre d'enceintes fermées,1,1,0,7,0,,19,0,1915375.0201599998,4225286.65019,1,0,1,0,0,1
4,2004,2014,-1.0,ESP28405,467,Ave du Grand Serre pair,20,2,1,2,,,0,20,1,0,0,Arbre de voirie,0,1,0,1,1,,0,0,1913668.2831400002,4221604.95906,0,0,0,0,0,0
6,2004,2014,2015.0,ESP16728,787,Ec des Trembles,20,8,1,7,,,0,20,1,0,2,Arbre d'enceintes fermées,1,1,0,0,0,,4,0,1915192.0531099997,4221508.6591300005,0,0,0,0,0,0
6,2004,2015,2018.0,ESP2432,740,Pl Lionel Terray,30,56,1,36,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,1,10,1,,8,0,1914243.33755,4221729.86489,0,0,0,0,0,0
6,2004,2015,2017.0,ESP27835,643,R Arlequin ang voie tram,30,7,1,13,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,1,7,0,,5,0,1914717.06707,4222182.6032300005,0,0,0,0,0,0
4,2004,2015,-1.0,ESP21920,297,Sq Bajatière Chem de l'église,20,36,0,13,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,1,1,0,,5,0,1914933.70718,4223275.0693,0,0,0,0,0,0
2,2004,2014,2016.0,ESP28287,462,Parc 2 R Hermin M Leclerq,70,15,1,14,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,0,4,0,,8,0,1914863.8515,4225327.86027,0,0,0,0,0,0
5,2004,2013,2015.0,ESP10623,525,Centre œcuménique St Marc,10,65,1,40,,,1,11,1,1,1,Arbre d'espaces ouverts,1,1,0,7,0,,31,0,1915211.51715,4222611.12025,0,0,0,0,0,0
6,2004,2015,-1.0,ESP27518,298,R C Kogan n 31alignement,30,20,1,7,,,2,6,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,0,2,1913987.9220200002,4221672.5680599995,1,0,1,0,1,1
2,2007,2014,-1.0,ESP18249,566,Cité de l'Alma,0,18,1,17,,,0,20,1,0,1,Arbre d'espaces ouverts,0,0,0,1,0,,0,0,1914787.9531900003,4224934.20161,0,0,0,0,0,0
6,2004,2013,2014.0,ESP1675,207,Av Reynoard sép VO a Musset,20,42,1,31,,,0,20,1,0,0,Arbre de voirie,1,1,0,4,1,,23,0,1914489.61605,4221640.61635,0,0,0,0,0,0
5,2004,2014,2014.0,ESP25393,379,Pl Ch Dullin impair ,10,39,1,29,,,3,11,1,1,1,Arbre d'espaces ouverts,1,0,0,4,0,,22,1,1914964.55696,4222554.91506,1,0,1,0,1,1
3,2004,2013,-1.0,ESP25955,84,Pc Ch Elysés pel petit train,20,10,1,9,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,0,0,1912846.9440799998,4221901.85932,0,0,0,0,0,0
6,2010,2015,2017.0,ESP17348,81,All Romantiques LBruyère Vigny,10,37,1,9,,,0,20,1,0,1,Arbre d'espaces ouverts,0,1,0,7,1,,0,0,1914220.49934,4222210.59343,0,0,0,0,0,0
6,2004,2015,-1.0,ESP10418,105,Prc La Bruyère dalle Res,10,119,0,71,,,2,6,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,46,2,1914805.9383200002,4222265.18845,1,1,1,0,0,1
2,2014,2014,2020.0,ESP32925,57,Crs Jaurès impair de PHD/ Lorr,10,108,0,27,,,0,20,1,0,0,Arbre de voirie,0,0,0,0,1,,0,0,1913687.00074,4224695.09796,0,0,0,0,0,0
5,2004,2015,2017.0,ESP28881,396,Prc Echangeurs amphi Nord,0,48,0,32,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,7,0,,25,0,1915402.64243,4224725.04581,0,0,0,0,0,0
2,2004,2015,2019.0,ESP16450,401,Bd Esplan Autoroute A 48 ,20,7,1,13,,,0,20,1,1,0,Arbre de voirie,1,1,3,7,1,,5,2,1913380.8157099998,4225349.9864,0,0,0,0,0,0
5,2004,2015,2018.0,ESP6514,1047,R Argouges  Jouhaux à C Rivail,30,13,1,7,,,1,20,1,0,0,Arbre de voirie,1,1,0,7,1,,7,2,1915715.8412400002,4223443.31305,1,0,1,0,1,1
2,2004,2014,2016.0,ESP11510,225,Jard de Ville,60,1,1,1,39.0,L 123-1.7,1,11,1,1,1,Arbre d'espaces ouverts,1,2,0,4,0,Groupé,0,2,1914194.10001,4224948.56739,1,0,1,0,0,1
6,2004,2015,-1.0,ESP22167,498,Ave La Bruyère pair,20,65,1,40,,,0,20,1,1,0,Arbre de voirie,1,0,0,1,1,,31,0,1914151.6237700002,4222103.20909,0,0,0,0,0,0
6,2004,2013,2016.0,ESP15958,241,R Esmonin Blum au rond point,20,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,0,0,1913669.92897,4221456.78376,0,0,0,0,0,0
5,2004,2013,2016.0,ESP28932,435,Sq H Mauchant face 16 Voirie,30,8,1,7,,,1,11,1,0,0,Arbre de voirie,1,1,0,6,0,,4,0,1915132.2403799999,4222411.92013,0,0,0,0,0,0
5,2004,2015,2017.0,ESP26580,53,Cité Léon Jouhaux,30,9,1,8,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,0,7,0,,5,0,1915443.5986099998,4223180.76349,0,0,0,0,0,1
4,2004,2015,2017.0,ESP6340,139,Pc Alliance R Stalingrad,20,36,0,13,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,1,10,0,,5,2,1914036.5333099999,4222885.58848,0,0,0,0,0,0
6,2004,2015,2015.0,ESP17003,343,Chem du tram,40,82,0,6,,,1,11,1,0,1,Arbre d'espaces ouverts,1,1,0,4,0,,0,0,1914726.51821,4221752.036230001,1,0,1,0,0,1
5,2004,2014,2014.0,ESP27815,20,Prc Echangeurs Valmy Gallieni,90,7,1,6,,,3,1,1,0,1,Arbre d'espaces ouverts,1,1,0,11,0,,5,2,1915478.58147,4224558.6088,1,0,1,0,0,1
6,2004,2015,2019.0,ESP5767,715,R Gervasoti mail des tilleuls,30,9,1,8,,,1,20,1,0,1,Arbre d'espaces ouverts,1,1,0,7,1,,5,0,1914421.4919200002,4221527.98374,1,0,1,0,1,1
